Time_min,Media Port,PR North,PR East,Boyawan,Dijing Huayuan
89.0,3.7383915479845086e-22,2.1546828498886e-23,8.241668390279303e-24,6.162147886667637e-22,1.0746409070155024e-23
89.5,2.9200902090833013e-22,1.709511325293527e-23,6.558982234757599e-24,4.804570939056693e-22,8.560026685741847e-24
90.0,2.2794188963725377e-22,1.355208022131608e-23,5.215451091402778e-24,3.743711481955288e-22,6.812559635743873e-24
90.5,1.7781692097650025e-22,1.0734728165600707e-23,4.143690463520818e-24,2.915277525143769e-22,5.4172026689647354e-24
91.0,1.386269484907134e-22,8.496359385942987e-24,3.2894896006909233e-24,2.2687759832992133e-22,4.30403117877635e-24
91.5,1.0800711097251917e-22,6.719499760742675e-24,2.6092828989364314e-24,1.7645818950175696e-22,3.416781092039265e-24
92.0,8.40991334283067e-23,5.310172765374119e-24,2.068096467813876e-24,1.3716229197038488e-22,2.7102294651757647e-24
92.5,6.54439435134849e-23,4.193274371283023e-24,1.6378827669497431e-24,1.0655516139523487e-22,2.1480666401934943e-24
93.0,5.0896786603271424e-23,3.3088417732109555e-24,1.2961717094071279e-24,8.273040232715976e-23,1.701170023002305e-24
93.5,3.956018681506871e-23,2.60904683410379e-24,1.024979467626041e-24,6.41963932035483e-23,1.3462055072322924e-24
94.0,3.0731049367470175e-23,2.055776342420074e-24,8.099268337626077e-25,4.9786872356313875e-23,1.0644958003958823e-24
94.5,2.3858957778832245e-23,1.618686794711916e-24,6.395277477928231e-25,3.85906044438433e-23,8.41105859313983e-25
95.0,1.8513324893988418e-23,1.273642410919024e-24,5.046158242274961e-25,2.989610128021466e-23,6.641046844764907e-25
95.5,1.4357539736120894e-23,1.0014622660109843e-24,3.978826430782909e-25,2.3148209899776226e-23,5.239701764587603e-25
96.0,1.1128637040383628e-23,7.869164507190198e-25,3.135064422372641e-25,1.791404724362755e-23,4.131098896890439e-25
96.5,8.62132263434676e-24,6.179226143898397e-25,2.4685384039127134e-25,1.3856289912296653e-23,3.2547555498856797e-25
97.0,6.675431351557467e-24,4.849035576787337e-25,1.942404854074236e-25,1.0712246914648932e-23,2.5625337114367453e-25
97.5,5.1660875603899116e-24,3.8027411534949956e-25,1.5273919061046118e-25,8.277475608246778e-24,2.0161544509806518e-25
98.0,3.995991817170412e-24,2.9803171664749414e-25,1.2002629676204014e-25,6.39296394196976e-24,1.5852052173079815e-25
98.5,3.0893787458647682e-24,2.334299937091815e-25,9.425876894690816e-26,4.935109948153447e-24,1.2455439704569968e-25
99.0,2.387287514769146e-24,1.8271884212709618e-25,7.397597787841761e-26,3.807893570056071e-24,9.78022437620468e-26
99.5,1.8438624236807273e-24,1.4293759853938962e-25,5.802128456375993e-26,2.9367654171821334e-24,7.674657097505076e-26
100.0,1.423461282506191e-24,1.117506325738962e-25,4.5479495439907157e-26,2.263879129260056e-24,6.018575189885374e-26
100.5,1.0983967615275098e-24,8.73167729701626e-26,3.562702282371346e-26,1.7443744322330322e-24,4.71690369694878e-26
101.0,8.471733575480346e-25,6.818569687105518e-26,2.7892206329580994e-26,1.3434812374425634e-24,3.694476595713723e-26
